What is your age?,How many traffic lights do you have to pass during your travel journey ?,How many junctions during your travel journey?,How many road blocks during your travel journey?,How many toll booth are there from your house to work/school/university/ hospital?,Departure_Lat,Departure_Lon,Destination_Lat,Destination_Lon,Departure_hour,Departure_minute,Destination_hour,Destination_minute,Travel_Time_Minutes,Mode_of_Transportation_Bus,Mode_of_Transportation_Cabs Services,Mode_of_Transportation_Car,Mode_of_Transportation_College Bus,Mode_of_Transportation_College Bus ,Mode_of_Transportation_Cycle,Mode_of_Transportation_Institution Provided Transport ,Mode_of_Transportation_Magic,Mode_of_Transportation_Public Transport,Mode_of_Transportation_Railway ,Mode_of_Transportation_Train,Mode_of_Transportation_Two Wheeler,Mode_of_Transportation_Uber,Mode_of_Transportation_Udke,Mode_of_Transportation_University Bus,Mode_of_Transportation_University Bus ,Mode_of_Transportation_Walk,Mode_of_Transportation_Walking
19.0,3,0,2,0.0,26.8984568,75.82942729999999,26.8225942,75.8659493,7,0,15,0,20.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19.0,3,0,3,0.0,26.8437601,75.8175392,26.8176736,75.86171709999999,7,0,15,0,30.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,1,2,2,1.0,26.8228644,75.8662533,26.8223653,75.8641324,8,0,20,0,30.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
19.0,0,0,1,0.0,28.1317038,75.4022233,26.8241159,75.8564653,8,0,15,0,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
19.0,2,3,1,3.0,26.8437601,75.8175392,26.8225942,75.8659493,7,0,18,0,60.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
19.0,0,0,0,0.0,26.8176736,75.86171709999999,26.8225942,75.8659493,7,0,15,0,30.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19.0,0,0,0,0.0,28.4317042,76.8951551,26.8550079,75.82409539999999,8,0,16,0,30.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
19.0,3,3,0,3.0,27.8011636,76.6441591,26.8437601,75.8175392,5,0,18,0,50.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
19.0,0,0,0,0.0,27.0836124,75.8301537,26.6965521,77.8907576,8,0,15,0,20.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
19.0,3,3,3,0.0,26.8727283,75.73459199999999,26.8727283,75.73459199999999,7,0,15,0,400.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
19.0,2,0,0,1.0,28.3264856,75.67424919999999,28.3546188,75.6906241,6,0,15,0,60.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
19.0,0,0,0,2.0,27.0891674,75.77203279999999,27.0891674,75.77203279999999,7,0,15,0,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
19.0,3,0,0,1.0,26.8437601,75.8175392,24.1262191,73.6300729,6,0,15,0,30.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
19.0,1,3,2,0.0,26.8618323,75.749783,26.8225942,75.8659493,8,0,23,0,30.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
19.0,6,0,1,0.0,27.4966161,76.5025742,26.8437601,75.8175392,7,0,15,0,30.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,0,0,0,0.0,27.0200643,75.77203279999999,26.8437601,75.8175392,7,0,16,0,30.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,40,0,5,2.0,26.8228644,75.8662533,26.8767803,75.7980575,7,0,19,0,30.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,3,0,2,0.0,26.8225942,75.8659493,28.1944713,76.817266,7,0,15,0,40.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19.0,0,0,1,2.0,26.8437601,75.8175392,26.8176736,75.86171709999999,7,0,15,0,60.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19.0,1,1,2,2.0,26.8225942,75.8659493,26.9195875,75.78796080000001,7,0,15,0,5.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19.0,3,1,0,0.0,26.9124336,75.7872709,26.9124336,75.7872709,7,0,15,0,40.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19.0,1,2,1,0.0,26.8225942,75.8659493,26.8504593,75.76277019999999,8,0,16,0,45.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,3,0,0,0.0,26.8892814,75.8360422,27.0298712,75.8935557,7,0,16,0,30.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
19.0,3,6,2,0.0,26.8180217,75.8128334,26.8225942,75.8659493,8,0,16,0,60.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
19.0,1,0,0,0.0,26.5298883,76.29425069999999,26.8622557,75.9557586,8,0,16,0,15.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,10,3,3,1.0,26.9098628,75.7331514,26.8623507,75.9709398,7,0,15,0,30.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
19.0,3,2,1,1.0,26.8596184,75.8018227,26.8596184,75.8018227,6,0,15,0,70.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
19.0,1,2,1,0.0,27.1518699,75.9347113,26.9013363,75.828819,7,0,15,0,20.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
